BadWars diagnostics scan
Generated: 2026-07-04T20:24:46
Repository: C:\Users\evanm\OneDrive\Desktop\badwars

Columns: file | pcall | xpcall | task.spawn | task.defer | coroutine | ignored-pcall candidates

badscript/entry.lua | 5 | 2 | 0 | 0 | 0 | 0
badscript/games/1.8arena/77790193039862 - game/base.lua | 0 | 0 | 1 | 0 | 0 | 0
badscript/games/1.8arena/77790193039862 - game/Blatant/Fly.lua | 1 | 0 | 0 | 0 | 0 | 1
badscript/games/1.8arena/77790193039862 - game/Combat/AutoClicker.lua | 0 | 0 | 1 | 0 | 0 | 0
badscript/games/893973440 - flee the facility/base.lua | 0 | 0 | 1 | 0 | 0 | 0
badscript/games/893973440 - flee the facility/Blatant/PhaseHammer.lua | 0 | 0 | 1 | 0 | 0 | 0
badscript/games/893973440 - flee the facility/Render/ComputerESP.lua | 0 | 0 | 2 | 0 | 0 | 0
badscript/games/bedwars/6872265039 - lobby/base.lua | 3 | 0 | 0 | 0 | 0 | 1
badscript/games/bedwars/6872265039 - lobby/Combat/Sprint.lua | 6 | 0 | 0 | 0 | 0 | 4
badscript/games/bedwars/6872265039 - lobby/Minigames/AutoGamble.lua | 3 | 0 | 0 | 0 | 0 | 3
badscript/games/bedwars/6872274481 - game/base.lua | 18 | 3 | 1 | 1 | 0 | 8
badscript/games/bedwars/6872274481 - game/Blatant/AntiFall.lua | 1 | 0 | 0 | 0 | 0 | 1
badscript/games/bedwars/6872274481 - game/Blatant/FastBreak.lua | 2 | 0 | 0 | 0 | 0 | 2
badscript/games/bedwars/6872274481 - game/Blatant/Fly.lua | 4 | 0 | 0 | 0 | 0 | 4
badscript/games/bedwars/6872274481 - game/Blatant/HitBoxes.lua | 3 | 0 | 0 | 0 | 0 | 3
badscript/games/bedwars/6872274481 - game/Blatant/KeepSprint.lua | 2 | 0 | 0 | 0 | 0 | 2
badscript/games/bedwars/6872274481 - game/Blatant/Killaura.lua | 19 | 0 | 2 | 0 | 0 | 17
badscript/games/bedwars/6872274481 - game/Blatant/LongJump.lua | 22 | 0 | 3 | 0 | 0 | 16
badscript/games/bedwars/6872274481 - game/Blatant/NoFall.lua | 2 | 0 | 1 | 0 | 0 | 2
badscript/games/bedwars/6872274481 - game/Blatant/NoSlowdown.lua | 2 | 0 | 0 | 0 | 0 | 1
badscript/games/bedwars/6872274481 - game/Blatant/ProjectileAimbot.lua | 3 | 0 | 0 | 0 | 0 | 3
badscript/games/bedwars/6872274481 - game/Blatant/ProjectileAura.lua | 5 | 0 | 2 | 0 | 0 | 4
badscript/games/bedwars/6872274481 - game/Blatant/Speed.lua | 1 | 0 | 0 | 0 | 0 | 1
badscript/games/bedwars/6872274481 - game/Combat/AimAssist.lua | 2 | 0 | 0 | 0 | 0 | 2
badscript/games/bedwars/6872274481 - game/Combat/AutoClicker.lua | 5 | 0 | 1 | 0 | 0 | 5
badscript/games/bedwars/6872274481 - game/Combat/Reach.lua | 2 | 0 | 0 | 0 | 0 | 2
